source,1h,24h,7d
nyt,0,76,252
nypost,0,57,80
bbc,0,46,211
wsj,0,23,256
wapo,0,18,53
latimes,0,13,150
chitri,0,9,137
cbc,0,9,40
startribune,0,9,10
missionlocal,0,3,31
48hills,0,0,10
eltecolote,0,0,0
toi,0,0,0
