source,1h,24h,7d
nyt,1,202,327
wsj,0,103,260
bbc,0,82,247
nypost,0,73,80
latimes,0,26,159
cbc,0,13,38
startribune,0,10,10
missionlocal,0,8,31
wapo,0,6,15
48hills,0,4,10
eltecolote,0,0,3
toi,0,0,0
