source,1h,24h,7d
wsj,13,106,260
nyt,12,118,263
nypost,5,64,79
bbc,4,66,208
latimes,1,34,143
chitri,1,30,154
wapo,1,22,42
startribune,1,10,10
cbc,0,13,39
missionlocal,0,6,31
48hills,0,3,10
eltecolote,0,0,0
toi,0,0,0
