source,1h,24h,7d
bbc,2,38,232
nyt,0,83,289
nypost,0,52,80
wsj,0,38,269
chitri,0,12,157
latimes,0,12,146
cbc,0,7,40
missionlocal,0,3,31
wapo,0,3,11
startribune,0,3,10
48hills,0,0,10
eltecolote,0,0,0
toi,0,0,0
