source,1h,24h,7d
bbc,4,45,239
nyt,2,84,242
wapo,1,14,34
nypost,0,46,80
wsj,0,28,204
latimes,0,13,157
startribune,0,9,10
cbc,0,8,40
missionlocal,0,3,31
48hills,0,0,10
eltecolote,0,0,2
toi,0,0,0
