source,1h,24h,7d
missionlocal,1,8,31
wsj,0,119,272
nyt,0,117,275
bbc,0,94,217
nypost,0,66,80
wapo,0,37,68
latimes,0,34,150
chitri,0,25,143
cbc,0,17,39
startribune,0,10,10
48hills,0,4,10
eltecolote,0,3,3
toi,0,0,0
