source,1h,24h,7d
nyt,17,179,316
nypost,12,68,80
wsj,9,118,256
bbc,4,91,220
latimes,1,28,160
wapo,1,11,24
missionlocal,1,10,31
cbc,0,17,39
startribune,0,8,8
48hills,0,5,10
eltecolote,0,0,0
toi,0,0,0
