source,1h,24h,7d
nyt,0,71,270
nypost,0,44,80
wsj,0,32,255
bbc,0,27,224
chitri,0,18,176
cbc,0,10,40
startribune,0,10,10
latimes,0,6,141
missionlocal,0,3,31
wapo,0,3,12
48hills,0,0,10
eltecolote,0,0,0
toi,0,0,0
