source,1h,24h,7d
bbc,5,95,227
nypost,4,62,80
nyt,2,129,270
wsj,1,46,199
wapo,1,22,39
startribune,1,10,10
latimes,0,25,156
cbc,0,5,34
toi,0,0,0
