source,1h,24h,7d
nyt,5,88,268
latimes,4,4,144
bbc,3,56,205
nypost,2,49,80
wapo,2,7,22
wsj,1,43,205
cbc,0,10,38
startribune,0,6,10
toi,0,0,0
