source,1h,24h,7d
nypost,5,67,80
nyt,4,111,281
latimes,2,23,153
wsj,1,107,251
bbc,1,58,200
missionlocal,1,5,31
chitri,0,17,139
cbc,0,11,40
startribune,0,10,10
wapo,0,5,8
48hills,0,1,10
eltecolote,0,0,0
toi,0,0,0
