source,1h,24h,7d
nyt,3,128,276
bbc,3,71,231
nypost,3,66,80
wsj,0,69,253
latimes,0,29,136
cbc,0,8,39
startribune,0,8,8
wapo,0,7,17
missionlocal,0,6,31
48hills,0,1,10
eltecolote,0,0,0
toi,0,0,0
