source,1h,24h,7d
nyt,8,146,276
nypost,5,74,79
bbc,4,85,189
wsj,2,111,252
latimes,1,22,151
startribune,1,10,10
missionlocal,1,9,31
wapo,1,4,17
cbc,0,15,40
48hills,0,3,10
eltecolote,0,1,8
toi,0,0,0
