source,1h,24h,7d
wsj,1,101,251
startribune,1,10,10
nyt,0,170,288
bbc,0,83,218
nypost,0,75,78
latimes,0,30,158
wapo,0,27,49
cbc,0,19,37
missionlocal,0,9,31
48hills,0,3,10
eltecolote,0,1,5
toi,0,0,0
