source,1h,24h,7d
nyt,7,92,262
wsj,4,29,260
nypost,3,51,80
bbc,2,26,215
wapo,1,15,50
missionlocal,1,3,31
latimes,0,20,145
chitri,0,15,140
cbc,0,8,40
startribune,0,4,10
48hills,0,2,10
eltecolote,0,0,0
toi,0,0,0
