source,1h,24h,7d
nypost,11,58,80
bbc,8,77,208
nyt,6,84,255
wsj,2,77,257
wapo,2,18,28
cbc,1,19,39
latimes,1,16,149
chitri,1,14,138
startribune,1,9,10
missionlocal,0,3,31
48hills,0,1,10
eltecolote,0,0,0
toi,0,0,0
