source,1h,24h,7d
bbc,2,70,219
nypost,2,44,80
nyt,0,80,263
wapo,0,45,60
wsj,0,43,208
latimes,0,12,160
cbc,0,7,37
startribune,0,7,8
missionlocal,0,2,29
48hills,0,2,10
eltecolote,0,0,7
toi,0,0,0
