source,1h,24h,7d
nyt,3,109,251
wsj,3,88,263
nypost,1,62,80
bbc,1,58,233
missionlocal,1,9,31
wapo,0,32,50
chitri,0,24,128
latimes,0,18,150
cbc,0,12,40
startribune,0,7,10
48hills,0,1,10
eltecolote,0,0,0
toi,0,0,0
