source,1h,24h,7d
nypost,13,74,80
nyt,12,128,286
bbc,9,107,238
wapo,3,12,13
startribune,2,10,10
wsj,1,102,272
latimes,1,19,145
48hills,1,4,10
chitri,0,27,161
cbc,0,21,40
missionlocal,0,2,31
eltecolote,0,0,0
toi,0,0,0
