source,1h,24h,7d
nyt,0,112,255
wsj,0,105,257
bbc,0,91,222
nypost,0,67,80
wapo,0,33,71
latimes,0,21,145
chitri,0,21,141
cbc,0,16,39
startribune,0,10,10
missionlocal,0,7,31
48hills,0,5,10
eltecolote,0,0,0
toi,0,0,0
