source,1h,24h,7d
nyt,30,226,305
wsj,16,145,264
nypost,12,68,80
bbc,7,97,222
wapo,5,73,114
latimes,1,23,156
startribune,1,10,10
cbc,0,23,40
missionlocal,0,7,31
48hills,0,4,10
eltecolote,0,0,1
toi,0,0,0
