source,1h,24h,7d
nyt,0,128,260
bbc,0,111,229
wsj,0,92,249
nypost,0,78,80
latimes,0,34,157
wapo,0,19,33
cbc,0,12,36
startribune,0,9,10
missionlocal,0,8,31
48hills,0,1,10
eltecolote,0,1,4
toi,0,0,0
